id,combined_features,title
207260,"['wrath', 'crows'] ['wrath', 'crows', 'gory', 'brutal', 'tied', 'strong', 'concept', 'whole', 'story', 'focused', 'characters', 'development', 'splatter', 'sequences', 'also', 'atmospheric', 'moments', 'sequences', 'final', 'twist', 'shock'] 4.8 ['Mystery' 'Horror' 'Thriller'] ['Mystery' 'Horror' 'Thriller'] ['Mystery' 'Horror' 'Thriller']",Wrath of the Crows
402423,"['vessel'] ['ten', 'years', 'tsunami', 'destroyed', 'elementary', 'school', 'children', 'inside', 'young', 'man', 'builds', 'mysterious', 'structure', 'school', 'remains', 'setting', 'town', 'aflame', 'passions', 'long', 'forgotten'] 5.3 ['Drama'] ['Drama'] ['Drama']",The Vessel
93890,"['eat', 'skin'] ['cancer', 'researcher', 'remote', 'caribbean', 'island', 'discovers', 'treating', 'natives', 'snake', 'venom', 'turn', 'zombies', 'uninterested', 'information', 'unfortunate', 'man', 'forced', 'evil', 'employer', 'create', 'army', 'creatures', 'order', 'conquer', 'world'] 3.0 ['Horror'] ['Horror'] ['Horror']",I Eat Your Skin
201847,"['compulsion'] ['strange', 'destructive', 'relationship', 'develops', 'chef', 'neighbor', 'former', 'child', 'actress'] 4.5 ['Thriller' 'Drama'] ['Thriller' 'Drama'] ['Thriller' 'Drama']",Compulsion
23273,"['great'] ['carlo', 'verdone', 'best', 'incredibly', 'supported', 'fantastic', 'alberto', 'sordi', 'cast', 'outperform', 'beyond', 'imagination'] 6.2 ['Comedy'] ['Comedy'] ['Comedy']",Great!
96664,"['nightfall'] ['inspector', 'lam', 'investigates', 'brutal', 'murder', 'tsui', 'famous', 'musician', 'wong', 'designated', 'suspect', 'spent', 'years', 'jail', 'murder', 'tsui', 'daughter', 'always', 'claimed', 'innocence'] 6.5 ['Action' 'Thriller' 'Crime'] ['Action' 'Thriller' 'Crime'] ['Action' 'Thriller' 'Crime']",Nightfall
292396,"['deliverance', 'creek'] ['set', 'end', 'civil', 'war', 'widowed', 'mother', 'belle', 'gatlin', 'barlowe', 'faces', 'uncertainty', 'attempts', 'defend', 'family', 'land', 'means', 'necessary', 'corrupt', 'bank', 'runs', 'town', 'pushes', 'belle', 'becoming', 'outlaw', 'stakes', 'become', 'personal', 'setting', 'chain', 'events', 'force', 'question', 'whether', 'better', 'good', 'survive'] 6.3 ['Drama'] ['Drama'] ['Drama']",Deliverance Creek
24582,"['manufactured', 'landscapes'] ['manufactured', 'landscapes', 'striking', 'new', 'documentary', 'world', 'work', 'renowned', 'artist', 'edward', 'burtynsky', 'internationally', 'acclaimed', 'photographs', 'manufactured', 'landscapes', 'recycling', 'yards', 'factories', 'mines', 'creates', 'stunningly', 'beautiful', 'art', 'civilization', 'materials', 'debris'] 7.3 ['Documentary'] ['Documentary'] ['Documentary']",Manufactured Landscapes
30645,"['mondo', 'trasho'] ['day', 'lives', 'driver', 'victim', 'bizarre', 'things', 'happen', 'collide', 'sexual', 'assault', 'crazed', 'visions', 'virgin', 'mary', 'strange', 'grafting', 'operations'] 5.6 ['Comedy'] ['Comedy'] ['Comedy']",Mondo Trasho
231216,"['villa', 'henriette'] ['sindato'] 0.0 ['Comedy'] ['Comedy'] ['Comedy']",Villa Henriette
161143,"['madly', 'madagascar'] ['favorite', 'madagascar', 'pals', 'back', 'adventure', 'alex', 'favorite', 'holiday', 'valentine', 'day', 'brings', 'hilarious', 'surprises', 'excitement', 'entire', 'gang', 'melman', 'plans', 'big', 'surprise', 'gloria', 'marty', 'tries', 'impress', 'new', 'friend', 'everyone', 'wants', 'get', 'hands', 'king', 'julien', 'love', 'potion', 'fall', 'love', 'madly', 'madagascar'] 5.9 ['Comedy' 'Animation' 'Family'] ['Comedy' 'Animation' 'Family'] ['Comedy' 'Animation' 'Family']",Madly Madagascar
102858,"['fourth', 'dimension'] ['created', 'manifesto', 'whose', 'directives', 'would', 'make', 'lars', 'von', 'trier', 'shudder', 'film', 'might', 'look', 'paper', 'like', 'exercise', 'forced', 'hipness', 'fortunately', 'directors', 'harmony', 'korine', 'usa', 'alexsei', 'fedorchenko', 'russia', 'jan', 'kwiecinski', 'poland', 'prove', 'innovative', 'insane', 'enough', 'make', 'fourth', 'dimension', 'exhilarating', 'experiment'] 5.0 ['Drama'] ['Drama'] ['Drama']",The Fourth Dimension
40933,"['bolero', 'raquel'] ['film', 'tells', 'episode', 'life', 'kindly', 'hearted', 'bootblack', 'becomes', 'accidentally', 'tutor', 'orphan', 'nevertheless', 'spends', 'time', 'effort', 'sake', 'boy'] 5.5 ['Comedy'] ['Comedy'] ['Comedy']",El bolero de Raquel
44480,"['education', 'death'] ['propaganda', 'film', 'world', 'war', 'ii', 'boy', 'grows', 'become', 'nazi', 'soldier'] 7.1 ['Animation'] ['Animation'] ['Animation']",Education for Death
180644,"['anina'] ['anina', 'yatay', 'salas', 'whose', 'name', 'spells', 'trouble', 'three', 'palindromes', 'row', 'ongoing', 'source', 'teasing', 'school', 'playground', 'fight', 'results', 'mysterious', 'punishment', 'anina', 'learn', 'put', 'problems', 'perspective', 'empathize', 'others', 'sweet', 'little', 'daydream', 'tale'] 7.1 ['Comedy' 'Animation' 'Family'] ['Comedy' 'Animation' 'Family'] ['Comedy' 'Animation' 'Family']",Anina
5722,"['beyond', 'valley', 'dolls'] ['hip', 'happenin', 'girl', 'rock', 'group', 'head', 'claim', 'kelly', 'inheritance', 'make', 'make', 'soon', 'girls', 'fall', 'morass', 'drugs', 'deceit', 'recording', 'success', 'soars', 'takes', 'several', 'tragedies', 'make', 'stop', 'think', 'late'] 6.6 ['Comedy' 'Thriller' 'Drama'] ['Comedy' 'Thriller' 'Drama'] ['Comedy' 'Thriller' 'Drama']",Beyond the Valley of the Dolls
363689,"['unspoken'] ['anderson', 'family', 'vanished', 'home', 'without', 'trace', 'bodies', 'ever', 'found', 'explanation', 'satisfied', 'curiosity', 'years', 'house', 'remained', 'undisturbed', 'eerily', 'expert', 'frightener', 'enlivened', 'terrific', 'performances', 'suits', 'arrow', 'star', 'neal', 'mcdonough', 'silent', 'tall', 'jodelle', 'ferland'] 4.5 ['Horror' 'Thriller'] ['Horror' 'Thriller'] ['Horror' 'Thriller']",The Unspoken
